제목,평점,개봉,연간,누적
극한직업,7.4, 2019.01.23. ,16265618,16266338
어벤져스: 엔드게임,7.8, 2019.04.24. ,13934592,13977602
겨울왕국 2,7.4, 2019.11.21. ,13369070,13747792
알라딘,8.4, 2019.05.23. ,12552283,12713059
기생충,7.9, 2019.05.30. ,10085275,10313087
엑시트,7.7, 2019.07.31. ,9426011,9426178
스파이더맨: 파 프롬 홈,6.5, 2019.07.02. ,8021145,8023606
백두산,6.5, 2019.12.19. ,6290766,8252669
캡틴 마블,6.3, 2019.03.06. ,5802810,5802811
조커,7.7, 2019.10.02. ,5247874,5255308
봉오동 전투,8.8, 2019.08.07. ,4787538,4787538
라이온 킹,7.4, 2019.07.17. ,4743264,4743264
나쁜 녀석들: 더 무비,6.3, 2019.09.11. ,4573902,4573902
82년생 김지영,6.7, 2019.10.23. ,3678156,3679019
분노의 질주: 홉스&쇼,7.0, 2019.08.14. ,3657536,3657613
토이 스토리 4,8.6, 2019.06.20. ,3400034,3400623
돈,6.7, 2019.03.20. ,3389125,3389125
악인전,7.4, 2019.05.15. ,3364712,3364712
가장 보통의 연애,7.4, 2019.10.02. ,2924563,2924564
말모이,9.1, 2019.01.09. ,2812877,2866453
증인,9.3, 2019.02.13. ,2534748,2534853
시동,7.6, 2019.12.18. ,2526016,3318429
블랙머니,9.1, 2019.11.13. ,2478964,2480145
터미네이터: 다크 페이트,7.8, 2019.10.30. ,2409062,2410227
사바하,7.3, 2019.02.20. ,2398519,2398581
타짜: 원 아이드 잭,5.2, 2019.09.11. ,2229239,2229281
신의 한 수: 귀수편,6.8, 2019.11.07. ,2157439,2159081
알리타: 배틀 엔젤,8.3, 2019.02.05. ,1952063,1958055
내안의 그놈,7.8, 2019.01.09. ,1902828,1917999
뺑반,6.2, 2019.01.30. ,1826912,1827020
신과함께-인과 연,6.8, 2018.08.01. ,12274996,12276359
어벤져스: 인피니티 워,7.6, 2018.04.25. ,11212710,11233176
보헤미안 랩소디,8.9, 2018.10.31. ,9224525,9948386
미션 임파서블: 폴아웃,8.1, 2018.07.25. ,6584915,6584915
신과함께-죄와 벌,7.0, 2017.12.20. ,5872007,14411782
쥬라기 월드: 폴른 킹덤,7.1, 2018.06.06. ,5661128,5661128
앤트맨과 와스프,7.4, 2018.07.04. ,5448134,5448134
안시성,7.6, 2018.09.19. ,5440186,5441020
블랙 팬서,6.1, 2018.02.14. ,5399227,5399327
완벽한 타인,7.5, 2018.10.31. ,5293383,5294155
1987,9.5, 2017.12.27. ,5290310,7232412
독전,6.5, 2018.07.18. ,5063684,5063844
공작,8.3, 2018.08.08. ,4974524,4975517
베놈,7.1, 2018.10.03. ,3888096,3888096
암수살인,7.6, 2018.10.03. ,3789321,3789553
데드풀 2,6.8, 2018.05.16. ,3784602,3784602
국가부도의 날,8.1, 2018.11.28. ,3747387,3755233
코코,8.9, 2018.01.11. ,3510017,3513114
아쿠아맨,7.5, 2018.12.19. ,3491887,5041143
그것만이 내 세상,8.7, 2018.01.17. ,3419339,3420199
마녀,8.0, 2018.06.27. ,3189091,3189091
탐정: 리턴즈,7.3, 2018.06.13. ,3152872,3152895
인크레더블 2,8.0, 2018.07.18. ,3033052,3033105
서치,8.3, 2018.08.29. ,2949944,2950097
너의 결혼식,7.3, 2018.08.22. ,2820969,2820685
곤지암,4.9, 2018.03.28. ,2675575,2676427
지금 만나러 갑니다,7.9, 2018.03.14. ,2602273,2602273
목격자,5.3, 2018.08.15. ,2524720,2524634
조선명탐정: 흡혈괴마의 비밀,6.6, 2018.02.08. ,2444136,2444145
신비한 동물들과 그린델왈드의 범죄,5.9, 2018.11.14. ,2414062,2414195
택시운전사,9.0, 2017.08.02. ,12186327,12189658
신과함께-죄와 벌,7.0, 2017.12.20. ,8535942,14411782
공조,7.2, 2017.01.18. ,7817631,7817654
스파이더맨: 홈 커밍,8.1, 2017.07.05. ,7258678,7258678
범죄도시,8.3, 2017.10.03. ,6879844,6880546
군함도,6.6, 2017.07.26. ,6592151,6592151
청년경찰,6.7, 2017.08.09. ,5653270,5653444
더 킹,7.4, 2017.01.18. ,5317383,5318007
미녀와 야수,6.9, 2017.03.16. ,5138330,5153841
킹스맨: 골든 서클,6.5, 2017.09.27. ,4945484,4945484
토르: 라그나로크,6.9, 2017.10.25. ,4853778,4858572
꾼,6.6, 2017.11.22. ,4018035,4018341
강철비,8.5, 2017.12.14. ,4013336,4452850
남한산성,7.3, 2017.10.03. ,3849087,3849129
미이라,6.3, 2017.06.06. ,3689325,3689325
분노의 질주: 더 익스트림,8.4, 2020.03.19. ,3653238,3659661
너의 이름은.,7.9, 2018.01.04. ,3637599,3732561
슈퍼배드 3,8.1, 2017.07.26. ,3324874,3324874
아이 캔 스피크,9.3, 2017.09.21. ,3279296,3283470
캐리비안의 해적: 죽은 자는 말이 없다,7.2, 2017.05.24. ,3049894,3049894
프리즌,7.2, 2017.03.23. ,2931897,2931897
덩케르크,7.5, 2017.07.20. ,2788732,2793042
가디언즈 오브 갤럭시 VOL. 2,8.1, 2017.05.03. ,2735721,2736060
살인자의 기억법,6.8, 2017.09.06. ,2658589,2658589
트랜스포머: 최후의 기사,5.5, 2017.06.21. ,2614601,2614603
